Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.3612,Mon Feb 05 17:54:49 +0000 2018,0.162,0.541,0.297,Paraguay's EPP rebels free two Mennonite hostages https://t.co/PGgDm8vQEk,31,@BBCWorld
0.3612,Mon Feb 05 16:52:49 +0000 2018,0.0,0.828,0.172,"Esmond Bradley Martin: The daring, indefatigable man who took on ivory poachers https://t.co/LJZXY743VN",32,@BBCWorld
-0.4939,Mon Feb 05 16:47:53 +0000 2018,0.262,0.738,0.0,Larry Nassar jailed for another 40 to 125 years https://t.co/rcW3GZwKNX,33,@BBCWorld
-0.765,Mon Feb 05 16:47:53 +0000 2018,0.423,0.577,0.0,Juan Barros: Chile sex abuse letter contradicts Pope over 'cover-up' https://t.co/2VgNaPhg0Z,34,@BBCWorld
-0.0572,Mon Feb 05 16:17:43 +0000 2018,0.058,0.942,0.0,"RT @BBC_HaveYourSay: Doritos to launch 'lady-friendly' crisps because women don't want to crunch loudly in public or lick their fingers, ap…",35,@BBCWorld
-0.3818,Mon Feb 05 15:42:57 +0000 2018,0.271,0.729,0.0,Maldives state of emergency declared by government https://t.co/9SKeeKhAlz,36,@BBCWorld
-0.7845,Mon Feb 05 15:40:55 +0000 2018,0.277,0.723,0.0,RT @BBCEngland: A 10-year-old girl fighting a rare cancer for the fourth time has written a book to raise money for potentially life-saving…,37,@BBCWorld
-0.7783,Mon Feb 05 15:38:10 +0000 2018,0.459,0.541,0.0,Israeli man stabbed to death at West Bank settlement https://t.co/FYFrJNh2tG,38,@BBCWorld
-0.4939,Mon Feb 05 15:10:03 +0000 2018,0.225,0.775,0.0,RT @BBCNorthAmerica: Larry Nassar jailed for another 40 to 125 years https://t.co/SCFe9rZmBf,39,@BBCWorld
0.4588,Mon Feb 05 14:49:46 +0000 2018,0.0,0.667,0.333,"Bitcoin puzzle worth $50,000 solved after nearly three years https://t.co/tFz7FaQs0E",40,@BBCWorld
0.0,Mon Feb 05 14:36:33 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: Formula 1 is to replace 'grid girls' with a new programme called 'grid kids' this season.

https://t.co/ixGejTU3DF https://t.…",41,@BBCWorld
0.0,Mon Feb 05 14:33:32 +0000 2018,0.0,1.0,0.0,Turkey-Netherlands row: Dutch ambassador withdrawn https://t.co/NOjJFp6F8m,42,@BBCWorld
0.0,Mon Feb 05 14:20:52 +0000 2018,0.0,1.0,0.0,The adrenaline junkie: Unicycling to the extreme https://t.co/f6Nnimmoxw,43,@BBCWorld
-0.4215,Mon Feb 05 14:19:34 +0000 2018,0.219,0.781,0.0,"Superbowl advert criticised for using Martin Luther King speech 
https://t.co/oiGWbMeVGC https://t.co/C5zd9QHquE",44,@BBCWorld
0.0,Mon Feb 05 13:50:21 +0000 2018,0.0,1.0,0.0,Kylie Jenner baby video: Five things we learnt https://t.co/3TY4JSeDq4,45,@BBCWorld
-0.4215,Mon Feb 05 13:16:04 +0000 2018,0.219,0.781,0.0,RT @BBCNews: President Trump: NHS 'going broke and not working' https://t.co/a05lCNO76p,46,@BBCWorld
0.6597,Mon Feb 05 13:11:31 +0000 2018,0.183,0.389,0.428,Eagles' first Super Bowl win sparks riots in Philadelphia https://t.co/UnuC6pyKlo,47,@BBCWorld
0.4404,Mon Feb 05 12:49:37 +0000 2018,0.0,0.868,0.132,Why the 13-year-old boy in this picture is the most famous teenager in the world right now... thanks to… https://t.co/rC0xvYSkTD,48,@BBCWorld
0.296,Mon Feb 05 12:32:23 +0000 2018,0.199,0.515,0.287,Super Bowl 2018: Why some people boycotted it https://t.co/YyrRdSzLhK,49,@BBCWorld
-0.296,Mon Feb 05 12:24:39 +0000 2018,0.155,0.845,0.0,Russian jet pilot 'pulled grenade pin' to avoid capture in Syria's Idlib https://t.co/LAHBMz8to4,50,@BBCWorld
0.8271,Mon Feb 05 12:16:54 +0000 2018,0.0,0.476,0.524,Super Bowl: Philadelphia win sparks mayhem in city https://t.co/bWij0e4qI4,51,@BBCWorld
0.3089,Mon Feb 05 12:16:54 +0000 2018,0.0,0.816,0.184,Michel Barnier says 'not a moment to lose' in Brexit talks https://t.co/KHsjexyZA7,52,@BBCWorld
0.5994,Mon Feb 05 12:13:12 +0000 2018,0.0,0.672,0.328,Super Bowl: Selfie Kid's big moment with Timberlake https://t.co/6TBaDV0VwF,53,@BBCWorld
-0.1779,Mon Feb 05 12:04:48 +0000 2018,0.214,0.621,0.166,RT @BBCNews: Ethan Stables convicted over gay pride attack plan https://t.co/G86RGkiLXV,54,@BBCWorld
-0.3875,Mon Feb 05 12:00:25 +0000 2018,0.122,0.878,0.0,"""The reason I've gone through this ordeal is not just to save myself....but it's to set a precedent.""  Alleged comp… https://t.co/NwpTFvmKXx",55,@BBCWorld
0.0,Mon Feb 05 11:46:21 +0000 2018,0.0,1.0,0.0,What Kylie Jenner's pregnancy video tells us https://t.co/3oqxjuFB4K,56,@BBCWorld
0.0,Mon Feb 05 11:26:32 +0000 2018,0.0,1.0,0.0,"Travelling 2,000 miles to cook for strangers https://t.co/UNaZlkxs0E",57,@BBCWorld
0.5106,Mon Feb 05 11:10:13 +0000 2018,0.0,0.852,0.148,RT @sommervilletv: BREAKING: Canadian citizens Sean Allen Moore &amp; Jolly Bimbachi released after months being held hostage by al-Qaeda linke…,58,@BBCWorld
0.0,Mon Feb 05 11:09:30 +0000 2018,0.0,1.0,0.0,RT @sommervilletv: US drawdown after Iraq declares victory over IS. But @CJTFOIR continues international efforts against so called Islamic…,59,@BBCWorld
-0.7906,Mon Feb 05 11:00:37 +0000 2018,0.5,0.5,0.0,Syria war: 'Chlorine attack' on rebel-held Idlib town https://t.co/r2TgI5sLMc,60,@BBCWorld
0.3818,Mon Feb 05 10:19:39 +0000 2018,0.078,0.733,0.19,"RT @BBCRealityCheck: Why is @Alexis_Sanchez like an orange, is @leonbailey worth his weight in gold and other strange football metaphors.…",61,@BBCWorld
0.0,Mon Feb 05 10:18:28 +0000 2018,0.0,1.0,0.0,RT @BBCSteveR: BARKING NEWS: My dog brings you the latest on the biggest snowfall in Moscow since records began. https://t.co/9Ufz9cClSH,62,@BBCWorld
-0.6705,Mon Feb 05 09:38:54 +0000 2018,0.391,0.609,0.0,Esmond Bradley-Martin: Ivory investigator killed in Kenya https://t.co/XK7QCUJ5sL,63,@BBCWorld
0.5859,Mon Feb 05 09:27:23 +0000 2018,0.0,0.678,0.322,Male make-up: Korean men have started a beauty revolution https://t.co/CJdBocFYlq,64,@BBCWorld
0.4019,Mon Feb 05 06:34:39 +0000 2018,0.0,0.69,0.31,Samsung heir freed from S Korea jail https://t.co/7ee8HeZR5d,65,@BBCWorld
0.0,Mon Feb 05 06:27:15 +0000 2018,0.0,1.0,0.0,"Winter Olympics 2018: IOC was ""disappointed"" by CAS decision to lift life bans on Russians https://t.co/qV5DLaKHk3",66,@BBCWorld
0.0,Mon Feb 05 05:26:36 +0000 2018,0.0,1.0,0.0,"RT @SallyBundockBBC: Packed agenda on #BBCtheBriefing - what is the outlook for South Africa's #JacobZuma? #Macedonia, all change at the #F…",67,@BBCWorld
-0.5267,Mon Feb 05 05:07:14 +0000 2018,0.274,0.726,0.0,Plastic pollution: Scientists' plea on threat to ocean giants https://t.co/JFQEQsDvpO,68,@BBCWorld
0.6222,Mon Feb 05 04:26:04 +0000 2018,0.0,0.855,0.145,"RT @BBCNewsAsia: Who says make-up is just for girls? ?????

South Korean men spend more on beauty and skincare than anywhere else in the wo…",69,@BBCWorld
0.7096,Mon Feb 05 03:30:56 +0000 2018,0.0,0.629,0.371,Justin Timberlake plays Prince and takes selfies at Super Bowl show https://t.co/vN4F3Mq0YS,70,@BBCWorld
0.6908,Mon Feb 05 03:21:25 +0000 2018,0.132,0.529,0.339,RT @BBCBreaking: Philadelphia Eagles defeat New England Patriots 41-33 to win Super Bowl LII https://t.co/dMsemtMNZj,71,@BBCWorld
-0.5106,Mon Feb 05 02:57:10 +0000 2018,0.125,0.875,0.0,RT @BBCNewsAsia: A young mother in China is selling her breast milk on the street to raise money for her sick daughter's medical bills: htt…,72,@BBCWorld
-0.1779,Mon Feb 05 02:57:05 +0000 2018,0.097,0.83,0.072,RT @BBCNewsAsia: North Korea is to send its highest ranking official for years to the South amid an easing of tensions during the Winter Ol…,73,@BBCWorld
-0.5994,Mon Feb 05 02:24:50 +0000 2018,0.328,0.672,0.0,How violent revolution gave birth to a global brand https://t.co/rw4aW2ZCdp,74,@BBCWorld
-0.6249,Mon Feb 05 01:49:14 +0000 2018,0.338,0.662,0.0,Salah Abdeslam: Paris attacks suspect to go on trial in Belgium https://t.co/ny0QZPuaxD,75,@BBCWorld
-0.6249,Mon Feb 05 00:38:01 +0000 2018,0.421,0.579,0.0,Salah Abdeslam: Five things about Paris attacks suspect https://t.co/NI0ThCtDFO,76,@BBCWorld
0.0,Mon Feb 05 00:34:14 +0000 2018,0.0,1.0,0.0,The teen rescuing street children in Nigeria https://t.co/c8a3NlvHGj,77,@BBCWorld
-0.4767,Mon Feb 05 00:34:14 +0000 2018,0.279,0.721,0.0,From a broken neck to a Rhodes Scholarship at Oxford https://t.co/51vQehBpRt,78,@BBCWorld
0.0,Mon Feb 05 00:27:07 +0000 2018,0.0,1.0,0.0,Breastfeeding mother sells milk to fund hospital bills https://t.co/xTerRG3QbN,79,@BBCWorld
0.7783,Mon Feb 05 00:22:56 +0000 2018,0.0,0.507,0.493,Ghana's autistic models turn heads and win awards https://t.co/JArB0mVwq5,80,@BBCWorld
0.0,Mon Feb 05 00:02:23 +0000 2018,0.0,1.0,0.0,Melbourne mayor Robert Doyle quits amid misconduct probe https://t.co/ob2rX1gWac,81,@BBCWorld
-0.296,Sun Feb 04 23:50:55 +0000 2018,0.167,0.833,0.0,Jacob Zuma: Pressure grows on South Africa president to stand down https://t.co/WDjcPAQyaU,82,@BBCWorld
-0.6705,Sun Feb 04 21:56:58 +0000 2018,0.429,0.571,0.0,NFL player 'killed by drink driver' https://t.co/sQKGoabGFK,83,@BBCWorld
0.0,Sun Feb 04 21:46:21 +0000 2018,0.0,1.0,0.0,US reality TV star Kylie Jenner gives birth to baby girl https://t.co/SVtbivlfPq,84,@BBCWorld
-0.7003,Sun Feb 04 20:52:46 +0000 2018,0.42,0.58,0.0,South Carolina train crash: Amtrak 'on the wrong track' https://t.co/yKC16HMAbN,85,@BBCWorld
0.0,Sun Feb 04 19:58:54 +0000 2018,0.0,1.0,0.0,Wind Games 2018: The indoor skydivers defying gravity https://t.co/L3IkGvPBEZ,86,@BBCWorld
0.0,Sun Feb 04 19:55:19 +0000 2018,0.0,1.0,0.0,North Korea to send ceremonial head Kim Yong-nam South https://t.co/jN2cnbxl8l,87,@BBCWorld
0.0,Sun Feb 04 18:48:39 +0000 2018,0.0,1.0,0.0,Heaviest snowfall on record blankets Moscow https://t.co/xhD4OGubta,88,@BBCWorld
-0.296,Sun Feb 04 17:43:13 +0000 2018,0.196,0.804,0.0,Oil tanker with 22 Indian crewmen missing off Benin https://t.co/3B5GsO0fR8,89,@BBCWorld
0.128,Sun Feb 04 17:39:16 +0000 2018,0.158,0.647,0.194,Kim Cattrall appeals for help finding brother missing in Canada https://t.co/Qm7oVR3d4Z,90,@BBCWorld
0.0,Sun Feb 04 16:18:38 +0000 2018,0.0,1.0,0.0,"Winter Olympics: Harley Windsor, the Indigenous Australian ice skater breaking barriers https://t.co/0iIOhwbUCZ",91,@BBCWorld
0.0516,Sun Feb 04 15:24:23 +0000 2018,0.0,0.87,0.13,Costa Rica election: Gay marriage debate dominates campaign https://t.co/faMPqh34EC,92,@BBCWorld
0.0,Sun Feb 04 14:55:44 +0000 2018,0.0,1.0,0.0,Ecuador votes on election term limit as Correa looks on https://t.co/Cet3Iieoa3,93,@BBCWorld
0.5574,Sun Feb 04 14:48:30 +0000 2018,0.0,0.735,0.265,Maldives orders army to resist any Supreme Court impeachment order https://t.co/OPdnTO4k3C,94,@BBCWorld
-0.5106,Sun Feb 04 13:53:28 +0000 2018,0.292,0.708,0.0,US police officer run over by car thieves https://t.co/wPQUrI1Ziv,95,@BBCWorld
-0.5719,Sun Feb 04 13:46:19 +0000 2018,0.37,0.63,0.0,Greece Macedonia: Name dispute draws mass protest in Athens https://t.co/Ejz6eoadFX,96,@BBCWorld
-0.5859,Sun Feb 04 12:10:24 +0000 2018,0.297,0.703,0.0,"Is this still the ""ugliest city"" in the world? https://t.co/Ds0glczKZt",97,@BBCWorld
-0.6249,Sun Feb 04 11:58:53 +0000 2018,0.313,0.687,0.0,Migrant crisis: 20 bodies pulled from sea near Morocco https://t.co/1neuybnJeN,98,@BBCWorld
-0.8176,Sun Feb 04 11:12:40 +0000 2018,0.515,0.485,0.0,Amtrak crash: Two killed after trains collide in South Carolina https://t.co/IVd1z7g6HS,99,@BBCWorld
-0.1027,Tue Feb 06 05:03:11 +0000 2018,0.113,0.887,0.0,2-year-old girl dies after she's found outside in freezing weather https://t.co/pYkUPW4sRP https://t.co/uer9r0gP0M,0,@CBSNews
0.0,Tue Feb 06 05:00:27 +0000 2018,0.0,1.0,0.0,"Cities, counties ask Big Pharma to limit opioids production https://t.co/prvXLmk0fh https://t.co/oZVRn2SlM2",1,@CBSNews
-0.6486,Tue Feb 06 04:55:01 +0000 2018,0.346,0.654,0.0,"Teen, her boyfriend sentenced for fatally stabbing, bludgeoning her grandparents https://t.co/I7WifVTJAE https://t.co/6eeb0vbBAj",2,@CBSNews
-0.5574,Tue Feb 06 04:38:46 +0000 2018,0.167,0.833,0.0,"""Senseless act of violence."" Deputy Micah Flick, 34, died while responding to a motor vehicle theft in Colorado Spr… https://t.co/FXXK9zW9Tl",3,@CBSNews
-0.0258,Tue Feb 06 04:15:01 +0000 2018,0.073,0.927,0.0,President Trump touts tax plan as Dow plummets in largest one-day decline ever https://t.co/WkL25EvQ0N https://t.co/Fd01rOh9qj,4,@CBSNews
0.0,Tue Feb 06 04:07:25 +0000 2018,0.0,1.0,0.0,"Ahead of SpaceX's historic Falcon Heavy launch Tuesday, Elon Musk says he's sending a Tesla Roadster with the rocke… https://t.co/uHdwnQZgR0",5,@CBSNews
-0.886,Tue Feb 06 03:55:01 +0000 2018,0.41,0.547,0.043,"For nearly three years, Saudi Arabia has been backing Yemeni government soldiers, fighting a brutal war against reb… https://t.co/3VzBR47FEU",6,@CBSNews
0.0,Tue Feb 06 03:15:01 +0000 2018,0.0,1.0,0.0,Are we heading for a bear market? CBS News business analyst @jillonmoney discusses as Dow sell-off rattles nerves.… https://t.co/IM5rnD2CtY,7,@CBSNews
0.0,Tue Feb 06 03:13:53 +0000 2018,0.0,1.0,0.0,"RT @CBSEveningNews: NOW: @CBSEveningNews with @JeffGlor airs in its entirety on CBSN, @CBSNews' 24/7 streaming news service https://t.co/Me…",8,@CBSNews
0.0258,Tue Feb 06 02:55:01 +0000 2018,0.0,0.945,0.055,"U.S. Ambassador Nikki Haley says Russia's proposal for an investigative body in Syria ""is a way to whitewash the fi… https://t.co/Kuo6V2Q9EU",9,@CBSNews
0.3818,Tue Feb 06 02:35:01 +0000 2018,0.0,0.841,0.159,House to vote on short-term spending bill that would also fund defense spending at increased levels for the rest of… https://t.co/RQ7AXTmj3t,10,@CBSNews
0.8225,Tue Feb 06 02:15:30 +0000 2018,0.0,0.703,0.297,"Up to 3 million fans are expected to celebrate at the Eagles' Super Bowl victory parade in Philadelphia, where scho… https://t.co/tDpEtCGK6B",11,@CBSNews
0.0,Tue Feb 06 02:14:26 +0000 2018,0.0,1.0,0.0,"NEW: Ivanka Trump will lead the White House delegation to the Olympics closing ceremonies in Pyeongchang, a White H… https://t.co/yNMLwQl4RG",12,@CBSNews
0.0,Tue Feb 06 01:55:02 +0000 2018,0.0,1.0,0.0,"SpaceX founder and chief designer Elon Musk ""giddy"" ahead of historic Falcon Heavy launch https://t.co/XeqjfQnQqs https://t.co/oxeFYvQDMt",13,@CBSNews
0.0,Tue Feb 06 01:35:01 +0000 2018,0.0,1.0,0.0,NTSB chairman said investigators have recovered key evidence from the wreckage https://t.co/x8MBd5yOGw https://t.co/Blt6P78MGY,14,@CBSNews
-0.6705,Tue Feb 06 01:34:35 +0000 2018,0.2,0.8,0.0,"@CBSNews NEW: El Paso County Sheriff's Office confirms Deputy Micah Flick, 34, was killed in Colorado Springs shoot… https://t.co/VKNiU1gamk",15,@CBSNews
-0.3818,Tue Feb 06 01:15:01 +0000 2018,0.115,0.885,0.0,"The quick flu tests are only 50 to 70 percent accurate, the CDC says, raising concerns about its effectiveness duri… https://t.co/41597ut4ui",16,@CBSNews
-0.3182,Tue Feb 06 00:55:01 +0000 2018,0.119,0.881,0.0,"Police in Colorado Springs, Colorado, said they are responding to a ""critical incident"" after local reports of thre… https://t.co/6ADV72HCpG",17,@CBSNews
0.4767,Tue Feb 06 00:35:01 +0000 2018,0.0,0.838,0.162,House Intelligence Committee votes unanimously to release a memo by the committee's Democrats that rebuts the GOP-a… https://t.co/tndZdV7zzC,18,@CBSNews
0.5267,Tue Feb 06 00:15:37 +0000 2018,0.0,0.861,0.139,WATCH: Ice forms on surfers' faces as they brave the frigid temperatures of Lake Michigan. Some may ask why they ar… https://t.co/P26Ckfe7bn,19,@CBSNews
-0.7269,Mon Feb 05 23:55:34 +0000 2018,0.225,0.775,0.0,"@CBSNews With the flu season still bad, many people are taking a quick test to find out if they have it. But accord… https://t.co/5eGk0RmQ4A",20,@CBSNews
-0.296,Mon Feb 05 23:52:42 +0000 2018,0.099,0.901,0.0,"@CBSNews Vice President Mike Pence is on a five-day trip to Asia, mostly to ratchet up pressure on North Korea's op… https://t.co/nQmwA0HwWK",21,@CBSNews
-0.8588,Mon Feb 05 23:49:03 +0000 2018,0.345,0.655,0.0,@CBSNews There may be no place in the word more dangerous than Yemen. A 3-year-old civil war is in a stalemate. One… https://t.co/32gc1CEItR,22,@CBSNews
0.0,Mon Feb 05 23:43:54 +0000 2018,0.0,1.0,0.0,@CBSNews Federal investigators said a signaling system was down for maintenance yesterday when an Amtrak train cras… https://t.co/tgW4oJ6mrt,23,@CBSNews
-0.296,Mon Feb 05 23:41:04 +0000 2018,0.104,0.896,0.0,@CBSNews The market's tumble came as President Trump was talking about his tax cuts in Ohio. Dean Reynolds reportin… https://t.co/8XfO7Z94zc,24,@CBSNews
0.0,Mon Feb 05 23:38:47 +0000 2018,0.0,1.0,0.0,"""We've had these dips before. Markets have come back, so we don't know what tomorrow will bring,"" @jillonmoney says… https://t.co/iQFsKV9R0t",25,@CBSNews
-0.4019,Mon Feb 05 23:30:17 +0000 2018,0.163,0.837,0.0,"""There are serious allegations that need investigation. It's not enough just to bring people in for them to deny th… https://t.co/7SyWovl76h",26,@CBSNews
0.0772,Mon Feb 05 23:27:17 +0000 2018,0.0,0.942,0.058,".@RepAdamSchiff: ""The DOJ and FBI have had our memo for days, unlike the process the majority used. We want their f… https://t.co/i3OxotqqLY",27,@CBSNews
0.0,Mon Feb 05 23:25:45 +0000 2018,0.0,1.0,0.0,".@RepAdamSchiff: ""The vote was unanimous to release this. I think the Republican members understood that after a ca… https://t.co/UysPhJ3Wuu",28,@CBSNews
-0.1027,Mon Feb 05 23:24:44 +0000 2018,0.06,0.94,0.0,"“Republicans have endeavored to put it the FBI on trial, put the DOJ on trial, impeach and impugn the hard work of… https://t.co/awyEeLuteO",29,@CBSNews
-0.5994,Mon Feb 05 23:20:45 +0000 2018,0.234,0.766,0.0,"""The majority found themselves in an unsupportable position when they released a misleading memo and refused to rel… https://t.co/Yr5B32qx9n",30,@CBSNews
-0.2023,Mon Feb 05 23:19:02 +0000 2018,0.096,0.904,0.0,MORE: Democrats' 10-page rebuttal to the controversial memo released last week is headed to President Trump's desk https://t.co/9t4yqSgvhz,31,@CBSNews
0.4767,Mon Feb 05 23:16:54 +0000 2018,0.0,0.829,0.171,WATCH: Rep. Adam Schiff announces House Intelligence Committee's vote to release Democrats' rebuttal to controversi… https://t.co/yjF43gTSvL,32,@CBSNews
-0.6908,Mon Feb 05 23:08:47 +0000 2018,0.251,0.749,0.0,"RT @CBSEveningNews: Coming up tonight on the @CBSEveningNews with @JeffGlor:

Frustration and concern over flu tests being inaccurate, rare…",33,@CBSNews
0.6908,Mon Feb 05 23:06:31 +0000 2018,0.0,0.769,0.231,A word of caution to tea lovers: Let your drink cool a bit before taking a sip. A new study finds that drinking tea… https://t.co/lcvl57v8lI,34,@CBSNews
-0.34,Mon Feb 05 22:46:03 +0000 2018,0.167,0.726,0.107,"President Trump on Democrats' reaction to the State of the Union: ""[Democrats] were like death. And un-American. un… https://t.co/uCXqm5bPVw",35,@CBSNews
-0.2732,Mon Feb 05 22:44:04 +0000 2018,0.11,0.89,0.0,"After Dow sees largest one-day point drop in market history, @PressSec responds to market inquiries: ""The president… https://t.co/lBqYKLA4PS",36,@CBSNews
0.8074,Mon Feb 05 22:31:31 +0000 2018,0.0,0.711,0.289,"Super Bowl LII champions, the Philadelphia Eagles, have landed. Watch as they give fans a preview of the Lombardi T… https://t.co/5utP8gFW8S",37,@CBSNews
-0.3612,Mon Feb 05 22:15:34 +0000 2018,0.111,0.889,0.0,"Holocaust denier Art Jones is running unopposed in the GOP primary in Illinois, and claims the Holocaust is ""the bi… https://t.co/SkrUDo3v2G",38,@CBSNews
0.25,Mon Feb 05 22:00:50 +0000 2018,0.083,0.758,0.159,"""She is our secret weapon. I just hope they don't change her. There are a lot of people that want to run her out,""… https://t.co/n51mou0YRS",39,@CBSNews
0.0,Mon Feb 05 21:45:57 +0000 2018,0.0,1.0,0.0,"""I think I figured it out. Nobody has really be able to explain it..."" President Trump says he has a theory as to w… https://t.co/bK2wGJL2dl",40,@CBSNews
0.0,Mon Feb 05 21:30:01 +0000 2018,0.0,1.0,0.0,"It wasn't too long ago that the question about cryptocurrency prices was how high can they go? Now, it's just the r… https://t.co/wk4vB9m69i",41,@CBSNews
0.3612,Mon Feb 05 21:08:25 +0000 2018,0.0,0.884,0.116,"“We are down 4.6% for the day...which does sound like a lot. Black Monday was was 22% when that happened,”… https://t.co/YdeAcuO9IM",42,@CBSNews
